input,output
why do SaaS companies prefer long-term contracts over short-term ones,"I sometimes wonder if companies that buy software would be better off signing ten-year contracts rather than one-year contracts.Typically, it’s buyers who want to sign short-term deals and sellers who want long-term ones. Go to almost any pricing page for a modern SaaS company, and you'll see two prices : 1 A big, bold one, which you'll pay if you're billed annually, and a small, higher one, which you'll pay if you're billed monthly. 2 And if you talk to any software vendor about signing an annual contract, they'll probably give a third option for a multi-year deal, which will have the lowest price of the three.The logic behind this sort of discounting is straightforward. For SaaS vendors, cash commitments are king. The entire business model is built around customers staying customers for a while and, to a lesser degree, up-front payments . Long-term deals offer both of these things. 3 Moreover, in some sense, annual contracts are less work to maintain than monthly ones. If a company knows that a customer will be a customer for the next year, they don’t have to renew that customer’s business every month. For all these reasons, getting 10,000 dollars today is better than probably getting 1,000 dollars a month for the next 12 months, and SaaS companies often offer people that deal."
why do SaaS companies prefer long-term contracts over short-term ones,"The logic behind this sort of discounting is straightforward. For SaaS vendors, cash commitments are king. The entire business model is built around customers staying customers for a while and, to a lesser degree, up-front payments . Long-term deals offer both of these things. 3 Moreover, in some sense, annual contracts are less work to maintain than monthly ones. If a company knows that a customer will be a customer for the next year, they don’t have to renew that customer’s business every month. For all these reasons, getting 10,000 dollars today is better than probably getting 1,000 dollars a month for the next 12 months, and SaaS companies often offer people that deal.They also offer the deal because buyers prefer short-term contracts. Buyers don’t want commitment; they want flexibility. What if they discover some hidden flaw in the product they bought? What if something about their business changes, and they no longer want to use it? What if a competitor launches a shiny new thing that they really like ? If they’re on a month-to-month contract, they can simply walk away. But if they’re on a long-term contract, they can’t. They can’t credibly demand that the vendor fix whatever thing they don’t like, “or else.” They can stop using the product, but they can’t stop paying for it . They’re locked in.And so, people say , when possible, avoid it . Avoid long-term contracts. Month-to-month is better than an annual commitment; annual is better than multi-year; literally anything is better than ten years."
why is the data industry overly focused on tooling instead of solving core problems?,"And so, people say , when possible, avoid it . Avoid long-term contracts. Month-to-month is better than an annual commitment; annual is better than multi-year; literally anything is better than ten years.—But is it? One of the common complaints that data people have about the state of the data industry today is that it’s too focused on tooling. We speculate on the implications of Snowflake’s launches and Databricks’ acquisitions ; we waste time trying to define the endless flavors of business intelligence ; we talk about Modern Data Stack this and AI that. As the memes say , this is all a fun distraction from what we actually need to do: Fix people and process problems. Teams don’t need to optimize the handles on their hammers or the nuances of their nails; they need to become better carpenters. The magic we’re looking for is in the work we’re avoiding."
why is the data industry overly focused on tooling instead of skills and processes,"But is it? One of the common complaints that data people have about the state of the data industry today is that it’s too focused on tooling. We speculate on the implications of Snowflake’s launches and Databricks’ acquisitions ; we waste time trying to define the endless flavors of business intelligence ; we talk about Modern Data Stack this and AI that. As the memes say , this is all a fun distraction from what we actually need to do: Fix people and process problems. Teams don’t need to optimize the handles on their hammers or the nuances of their nails; they need to become better carpenters. The magic we’re looking for is in the work we’re avoiding.I'm not totally sold by this argument in the aggregate ; we won’t all collectively become better craftspeople unless someone invents better hammers and nails. For individuals, though, tooling probably is a much lower order bit than skill, and talking about tooling is a form of technological bikeshedding . It's a science project; a hobby; an indulgence; an escape from the hard and often unpleasant work of dealing with people and corporate politics .So, to summarize, there are two pieces of learned wisdom about technology and skills:"
what are some key lessons to keep in mind when choosing technology tools for your business?,"So, to summarize, there are two pieces of learned wisdom about technology and skills:Don't get locked in to one vendor or tool, because you might want to use a different one later.Don’t worry too much about tools, because they aren’t the real solutions to your problems."
What is the best approach to selecting and committing to business tools and technologies?,"Don’t worry too much about tools, because they aren’t the real solutions to your problems.But you see the contradiction? The first piece of advice says to maintain optionality—but the second says that the options you’re protecting are what colors to paint your bike shed. The first point implicitly encourages us to always be optimizing our tooling; the second point says do not get distracted by optimizing your tooling.However, if the second point is the more important one—which I think it is—there’s an easy way to be good at it: Do the opposite of the first point. Choose lock-in. Buy the BI tool; burn the boats behind you ; set your tools in stone. Force yourself to worry about people and process problems by taking away your other temptations."
why is it important to commit to a single software tool,"However, if the second point is the more important one—which I think it is—there’s an easy way to be good at it: Do the opposite of the first point. Choose lock-in. Buy the BI tool; burn the boats behind you ; set your tools in stone. Force yourself to worry about people and process problems by taking away your other temptations.If you’re in the market for some software product and you whittle your options down to a handful of reasonable finalists, all of those tools are probably good enough. Databricks, Snowflake, BigQuery, Synapse—does it really matter which you choose? Will “business outcomes” be materially different because the data team chooses a BI tool that its users give 4.60 stars versus 4.58 ? Or 4.58 versus 4.56 ? 4 How much are those 0.02 stars worth? Are they worth anything at all? Because the ability to move between those products, and upgrade from a 4.56 to a 4.60, is the optionality we’re paying for, in both foregone discounts and in the time we lose to distracting debates and product evaluations.It’s worse than that though, because optionality has an even bigger cost: Stability. If you invest in a single tool, you can probably wring more value out of it than you can by constantly trying to find something that’s marginally better. But people are unlikely to make that investment if they’re always window shopping for an upgrade."
why is stability important when choosing software tools,"It’s worse than that though, because optionality has an even bigger cost: Stability. If you invest in a single tool, you can probably wring more value out of it than you can by constantly trying to find something that’s marginally better. But people are unlikely to make that investment if they’re always window shopping for an upgrade.Imagine a luxury apartment that’s leased by two people who are only committed to it until a better place comes on the market, and only committed to each other until they move. Now imagine a more pedestrian condo that a married couple owns. Which space is better? Imagine a college basketball team of one-and-done freshmen who will be NBA lottery picks. Now imagine one full of future insurance salesmen who’ve been playing together for several years . Which team is better ?In both cases, the stability of the latter option is at least arguably better than the talent of the former. And these are extreme cases, of college teams full of 1- and 2-star recruits versus 4- and 5-star recruits. When we buy software, we often sacrifice that stability, so that we can upgrade from a 4.56 star recruit to a 4.6 star recruit."
why is it important to have long-term relationships with software suppliers,"In both cases, the stability of the latter option is at least arguably better than the talent of the former. And these are extreme cases, of college teams full of 1- and 2-star recruits versus 4- and 5-star recruits. When we buy software, we often sacrifice that stability, so that we can upgrade from a 4.56 star recruit to a 4.6 star recruit.There are business examples too. In his 14 key principles for management , W. Edwards Deming recommends that companies “move toward a single supplier for any one item, on a long-term relationship of loyalty and trust.” This is important, Deming says, because quality requires consistency . Multiple suppliers create variability and inconsistency; variable and inconsistent businesses struggle to improve. The same principle likely applies for having multiple software “suppliers.” Migrating between tools—or even just questioning if a tool is right, and always evaluating new ones—is a lot more disruptive than making the most out of something that might be missing a few of the latest features.The two main arguments against these sorts of long-term deals are, one, products can stagnate, and two, vendors can exploit long-term customers because they don’t need to earn their business anymore."
what are the pros and cons of long-term vendor contracts,"The two main arguments against these sorts of long-term deals are, one, products can stagnate, and two, vendors can exploit long-term customers because they don’t need to earn their business anymore.Though the first risk is real, it happens more slowly than most people imagine. Microstrategy, a 35-year old BI tool, has a rating of 4.4 stars . 5 Barring some extreme event, like a business collapse or a broken acquisition, most products don’t die overnight.The second risk actually seems backwards. Like Deming suggests, loyal long-term customers have more influence over their suppliers than fickle ones. Google may not need to win Snapchat’s business every year anymore, but Google really needs to win it every five years. As anyone who’s ever sold software before will tell you, it’s not the aggressive negotiators that keep you awake at night; it’s long-term customers who are gradually getting unhappy. Those are the accounts you can’t afford to lose, and the ones you bend over backwards to serve."
