input,output,use
what happened with Away's leadership in 2019?,"In late 2019, Away , a startup that sells luggage, had a problem. Weeks earlier, a handful of Away employees sent The Verge screenshots of Steph Korey, the company’s then 31-year-old founder and CEO, berating staff for, in her view, not working hard enough, not being devoted to Away’s customers enough, not living up to Away’s values enough, and, in one case where she questioned if some employees were “brain dead,” not being cognitively animated enough. After interviewing a number of former employees who described the messages as “consistent with a pattern of behavior from the company’s top leaders,” The Verge published a lengthy piece charging Korey with creating a “toxic work environment” inside of Away.Korey tweeted an apology , said she was “appalled and embarrassed” by her behavior, promised to better support her team through an awkward commitment to “work-life integration,” and, three days later, was fired. 1 Away replaced Korey with Stuart Haselden , a former Lululemon executive with over twenty years of retail experience. 2 Then Korey returned as CEO, saying the initial decision was a mistake and that The Verge story contained “deliberate lies and distortions.” 3Korey’s firing sparked a number of the tech industry’s long-standing cultural powder kegs. The real story was inequality : If Korey, who grew up in a 55,000 square foot home and was at one point worth $130 million , wanted her team to work harder, she should pay them more than $40,000 a year. The real story was about inexperienced management : Rather than yelling at her support team, Korey should’ve been focused on figuring out why Away was getting 4,000 customer service requests a day. The real story was Slack : Away’s reliance on always-on chat and Korey’s insistence that employees “have almost every conversation in public” enabled executives to surveil and intimidate staff. The real story was racism : Several people of color said that they were fired by Away because they made jokes about “ cis white men ” in a private Slack channel. The real story was sexism : Had Korey been a man, she would’ve been seen as decisive rather than tyrannical. 4 The real story was the media : The article was a hit piece—targeting both Away and Slack —uncovering nothing remarkable, written by a reporter with an ax to grind.",1
what were the key issues surrounding Korey's firing at Away?,"Korey’s firing sparked a number of the tech industry’s long-standing cultural powder kegs. The real story was inequality : If Korey, who grew up in a 55,000 square foot home and was at one point worth $130 million , wanted her team to work harder, she should pay them more than $40,000 a year. The real story was about inexperienced management : Rather than yelling at her support team, Korey should’ve been focused on figuring out why Away was getting 4,000 customer service requests a day. The real story was Slack : Away’s reliance on always-on chat and Korey’s insistence that employees “have almost every conversation in public” enabled executives to surveil and intimidate staff. The real story was racism : Several people of color said that they were fired by Away because they made jokes about “ cis white men ” in a private Slack channel. The real story was sexism : Had Korey been a man, she would’ve been seen as decisive rather than tyrannical. 4 The real story was the media : The article was a hit piece—targeting both Away and Slack —uncovering nothing remarkable, written by a reporter with an ax to grind.It scissored Silicon Valley in half. 5 For a few weeks, no matter your team or tribe , you had an opinion on what happened at Away, and it proved that you had been right all along.The biggest nerve it touched, however, centered around the pressure that Korey, who was known for having a fanatical work ethic , put on her employees to work long hours, over weekends, and over holidays. Some argued that this expectation was abusive; others said it was necessary, the cost of doing business as a young company. 6",1
What are the different perspectives on work-life balance in startup culture?,"The biggest nerve it touched, however, centered around the pressure that Korey, who was known for having a fanatical work ethic , put on her employees to work long hours, over weekends, and over holidays. Some argued that this expectation was abusive; others said it was necessary, the cost of doing business as a young company. 6This debate over work-life balance was not new; it’s a fault line that frequently shakes up Silicon Valley’s chattering class. Elon Musk regularly dislodges it by encouraging people to work 80 to 100 hours a week ; Basecamp founders Jason Fried and David Heinemeier Hansson dislodged it when they published a book arguing that long hours are “a mark of stupidity;” every viral #DayInMyLife video from TikTok dislodges it . And Steph Korey inadvertently dislodged it by, among other things, preemptively rejecting her support team’s requests for time off in the name of accountability and empowerment.In this iteration, most of Korey's defenders didn't condone her approach—people couldn’t quite contort themselves into saying that calling her team braindead was reasonable. But many people, and especially venture capitalists and their social barnacles, defended her willingness to do whatever it takes to succeed. Rather than criticizing her managerial style, they said, we should applaud her “strong devotion” to her customers and her “meticulous care about the integrity of the product offered.” As one anonymous venture capitalist said , ""many VCs are reading it and recognizing the culture as the one they would love to see across their portfolio.”",1
why do some people defend aggressive leadership styles in startups,"In this iteration, most of Korey's defenders didn't condone her approach—people couldn’t quite contort themselves into saying that calling her team braindead was reasonable. But many people, and especially venture capitalists and their social barnacles, defended her willingness to do whatever it takes to succeed. Rather than criticizing her managerial style, they said, we should applaud her “strong devotion” to her customers and her “meticulous care about the integrity of the product offered.” As one anonymous venture capitalist said , ""many VCs are reading it and recognizing the culture as the one they would love to see across their portfolio.”Fair enough; building a company is hard. Most companies won't succeed unless the people building them are obsessively devoted to that endeavor. 7But that’s where the story takes an odd twist: Away was, by any reasonable measure, already successful. By early 2018, Away was profitable . Korey’s personal stake in Away was likely worth tens of millions of dollars. Away’s flagship product received a “nearly flawless” score on Wired and was called the “perfect carry-on” by Vogue . They had a podcast , a magazine full of celebrities, and a Forbes cover .",0
why do successful companies continue to push for aggressive growth,"But that’s where the story takes an odd twist: Away was, by any reasonable measure, already successful. By early 2018, Away was profitable . Korey’s personal stake in Away was likely worth tens of millions of dollars. Away’s flagship product received a “nearly flawless” score on Wired and was called the “perfect carry-on” by Vogue . They had a podcast , a magazine full of celebrities, and a Forbes cover .In other words, what was Korey still chasing? Why did Away need to raise another $100 million ? Why did it need 50 new stores and to build “a community” for people who bought suitcases? And why did she need to pursue those things with such relentless urgency that she forfeited her own managerial values—Korey had previously said that “you can’t be your most productive self if you’re not taking time to unplug,” and Away’s mission statement once said that “all time away is time well spent”—to do so?To people in tech, the answers to these questions are so self-evident that we barely recognize them as questions at all. She did it because that’s what you do when you start a company. If your company sells software, you build great software. If it sells luggage, suitcases—and “getting more out of every trip,” another part of Away’s mission—becomes your singular calling. You become passionate about resilient yet functionally minimal roller bags, or enterprise identity and access management , or solving payroll , or whatever. You go big, and then try to go bigger. In Silicon Valley, we’ve drowned ourselves so deeply in this ethos that we no longer realize that we’re in the water .",0
why do people start companies,"To people in tech, the answers to these questions are so self-evident that we barely recognize them as questions at all. She did it because that’s what you do when you start a company. If your company sells software, you build great software. If it sells luggage, suitcases—and “getting more out of every trip,” another part of Away’s mission—becomes your singular calling. You become passionate about resilient yet functionally minimal roller bags, or enterprise identity and access management , or solving payroll , or whatever. You go big, and then try to go bigger. In Silicon Valley, we’ve drowned ourselves so deeply in this ethos that we no longer realize that we’re in the water .In 2011, I was desperate, in a way that only a trophy-chasing twenty-four millennial can be desperate: My first job out of college, a junior analyst at a think tank in Washington, DC, was stalling, my grad school applications had been rejected, and I was running out of blue chip consulting firms, investment banks, and tech companies to apply to. Like so many other applicants for those positions, I didn’t know if I’d like doing these jobs; I only knew I’d like them on my resume. They weren’t passions, or even hobbies; they were the next opportunity for extrinsic validation . Thus far, the arc of my life—apply to college, go to college, apply for a vaguely prestigious job or smug fellowship, take the most notable one—had been mapped by others, and I figured I’d again drift towards my next “success.”I did not make it as far as I’d hoped. After a six-month job search, I landed my first offer on my fifty-ninth application: A data analyst at a San Francisco tech startup with a puzzling product, a clumsy name , and, as their MTV Cribs -themed recruiting video enthusiastically put it, “Cheetos, Fritos, and Doritios!” It wasn’t the glowing gold star that I was looking for, but with no alternative, I took the job.",0
What was your experience like when you first started working in Silicon Valley?,"I did not make it as far as I’d hoped. After a six-month job search, I landed my first offer on my fifty-ninth application: A data analyst at a San Francisco tech startup with a puzzling product, a clumsy name , and, as their MTV Cribs -themed recruiting video enthusiastically put it, “Cheetos, Fritos, and Doritios!” It wasn’t the glowing gold star that I was looking for, but with no alternative, I took the job.When I got to Silicon Valley in 2012, I was indistinguishable from many of the other new arrivals. We were young; we were educated; we were mostly white, mostly male, and mostly free of student debt. We preferred to wear jeans, drink IPAs, and talk about things—technology trends, SF housing policy, bourbon—as if we knew more about them than we did. Though it would take some time for me to be fully manufactured into a tech bro—for example, I still wore The North Face rather than Patagonia, SF’s preferred corporate athleisure—I was grade A raw material.I was also primed for indoctrination in a more important way: I was ambitious. Despite the Bay Area’s cultural and natural richness, I, like most people flooding into San Francisco’s central neighborhoods, didn’t come for those things. I came for my career. I came to succeed. I came to “have an impact.”  At what or on what, I didn’t know. But in a city overflowing with achievement, I assumed I’d figure it out.",1
what was your experience like when you first moved to a tech hub like San Francisco?,"I was also primed for indoctrination in a more important way: I was ambitious. Despite the Bay Area’s cultural and natural richness, I, like most people flooding into San Francisco’s central neighborhoods, didn’t come for those things. I came for my career. I came to succeed. I came to “have an impact.”  At what or on what, I didn’t know. But in a city overflowing with achievement, I assumed I’d figure it out.Within a few weeks of being in San Francisco, I hadn’t figured out what it meant to be successful in tech—I’d been run over by it. The three most common things I learned about my new coworkers were their name, their job title, and how early they joined the company. Days after I started, we celebrated raising nearly $100 million in funding—until, a few weeks later, Facebook bought Instagram , a company half our age and a fifth our size, for $1 billion. We lionized coworkers who left to join smaller companies or start their own; we wrote off coworkers who left for established giants like Google or Amazon, as if they were retiring. 8That was the only ruler by which we measured ourselves in San Francisco: How much money had your employer raised, how much hype did it have, and how early did you join? This singular scoreboard hung over everything—in every bar, at every Meetup™, inside every Yoga studio and CrossFit gym, on every date. In the tech bubble, there were no alternative measures of success, like there might be more professionally diverse cities. If you were to pick 20 random people out of a bar in New York or San Diego or Memphis, and ask them to sort themselves by social status, they’d probably disagree about the arrangement. How do you compare a dental hygienist to a teacher to a bike shop owner to an accountant? Why would you compare them at all?",1
what is the social culture like in San Francisco's tech scene?,"That was the only ruler by which we measured ourselves in San Francisco: How much money had your employer raised, how much hype did it have, and how early did you join? This singular scoreboard hung over everything—in every bar, at every Meetup™, inside every Yoga studio and CrossFit gym, on every date. In the tech bubble, there were no alternative measures of success, like there might be more professionally diverse cities. If you were to pick 20 random people out of a bar in New York or San Diego or Memphis, and ask them to sort themselves by social status, they’d probably disagree about the arrangement. How do you compare a dental hygienist to a teacher to a bike shop owner to an accountant? Why would you compare them at all?But ask 20 people at The Snug on Fillmore Street, and everyone would give the same answer. In fact, you don’t even need to ask—people who work in tech often arrange themselves by their professional strata on their own. In San Francisco, we are our jobs, we keep score, and we all know who’s winning. We have a scale, and we use it.The Bay Area isn’t entirely special in this regard; DC, for example, is also dominated by one industry, and full of young careerists who are hunting the same jobs. But Silicon Valley’s giant social scoreboard has one unique complication: The innate ambition of San Francisco’s startup class is also supercharged by the tech industry’s obsession with “growth.” We don’t value people by where they are. We value them in the same way we value our companies—by how fast they’re rising. Nobody talks about the CEO of a public company that’s growing at ten percent a year, or the Oracle SVP who’d been an SVP for a decade. We talked about the people and companies on the cusp —the rocket ships, the wunderkinds, the new new things .",1
what drives the ambition and culture in Silicon Valley?,"The Bay Area isn’t entirely special in this regard; DC, for example, is also dominated by one industry, and full of young careerists who are hunting the same jobs. But Silicon Valley’s giant social scoreboard has one unique complication: The innate ambition of San Francisco’s startup class is also supercharged by the tech industry’s obsession with “growth.” We don’t value people by where they are. We value them in the same way we value our companies—by how fast they’re rising. Nobody talks about the CEO of a public company that’s growing at ten percent a year, or the Oracle SVP who’d been an SVP for a decade. We talked about the people and companies on the cusp —the rocket ships, the wunderkinds, the new new things .For better or for worse, in San Francisco, these vertical trajectories feel possible. Unlike other prestige professions, the tech industry celebrates those who skip to the front of the line. Startups have no entry level analyst program, no obligatory MBA hiatus, no rotational associate sequence, no residencies, no defined timelines for becoming a partner or managing director. In Silicon Valley, ""paying your dues"" is hearsay. Through the breathless profiles that fill Forbes, VC blogs , and countless 30 Under 30 lists, startup founders are regularly reminded about those who became rich and famous by refusing to be told they weren’t ready.And so, we all chase a definition of success that can only be measured by how much faster we were moving than our peers. Every step we take, every hour of work we put in, feels like an urgent acceleration towards… something. Fueled by our time and other people’s money, we race one another to the horizon.",1
